name,extent_dimension,height,width,depth,dimension units
flat box (12d 3h 15w),width,3,15,12,inches
CD case,width,6,1,6,inches
archive letter,width,11,5,13,inches
tube square (30d 4h 4w),width,4,4,30,inches
archive half letter,width,11,3,12,inches
archive legal,width,10,5,16,inches
flat box (21d 3h 25w),width,3,25,21,inches
Paige 15,width,11,13,16,inches
audiotape (7 inch),width,1,8,8,inches
audiotape (5 inch),width,1,6,6,inches
archive half legal,width,11,3,16,inches
legacy black,width,3,12,16,inches
card box (8d 6h 12w),width,6,12,8,inches
card box (6d 4h 12w),width,4,12,6,inches
card box (5d 3h 12w),width,3,12,5,inches
card box (3d 5h 6w),width,5,6,3,inches
flip top (7d 4h 4w),width,4,4,7,inches
card box (4d 6h 8w),width,6,8,4,inches
card box (8d 5h 12w),width,5,12,8,inches
legacy blue,width,7,10,20,inches
flip top (8d 6h 3w),width,6,3,8,inches
flat box (14d 3h 18w),width,3,18,14,inches
flat box (22d 3h 28w),width,3,28,22,inches
flat box (20d 1h 24w),width,1,24,20,inches
flat box (16d 1h 20w),width,1,20,16,inches
DVD case,width,5,0.25,6,inches
XDCAM,width,1,6,7,inches
film can (12d 1h 12w),width,1,12,12,inches
video VHS,width,8,1,5,inches
film can (7d 1h 7w),width,1,7,7,inches
film can (10d 1h 10w),width,1,10,10,inches
film can (5d 1h 5w),width,1,5,5,inches
film can (4d 1h 4w),width,1,4,4,inches
flat box (16d 3h 20w),width,3,20,16,inches
flat box (9d 3h 12w),width,3,12,9,inches
legacy red,width,2,13,16,inches
Paige 17,width,15,14,17,inches
flat box (13d 3h 18w),width,3,18,13,inches
card box (6d 3h 12w),width,3,12,6,inches
tube (27d 6h 6w),width,6,6,27,inches
flat box (10d 3h 13w),width,3,13,10,inches
flat box (14d 3h 14w),width,3,14,14,inches
flat box (26d 3h 27w),width,3,27,26,inches
flat box (25d 2h 37w),width,2,37,25,inches
flat box (13d 5h 19w),width,5,19,13,inches
flat box (32d 2h 43w),width,2,43,32,inches
tube square (40d 9h 10w),width,9,10,40,inches
flat box (14d 1h 18w),width,1,18,14,inches
flip top (11d 9h 4w),width,9,4,11,inches
card box (2d 4h 7w),width,4,7,2,inches
flat box (30d 4h 35w),width,4,35,30,inches
film can (15d 1h 15w),width,1,15,15,inches
flip top (9d 13h 3w),width,13,3,9,inches
audiocassette case,width,3,1,4,inches
U-matic,width,2,7,10,inches
flat box (30d 2h 31w),width,2,31,30,inches
DVCAM,width,1,6,4,inches
Mini DV,width,1,5,3,inches
film can (8d 1h 8w),width,1,8,8,inches
flat box (17d 3h 21w),width,3,21,17,inches
card box (4d 9h 11w),width,9,11,4,inches
card box (3d 6h 8w),width,6,8,3,inches
film box (15d 1h 15w),width,1,15,15,inches
film can (12d 2h 12w),width,2,12,12,inches
film box (10d 1h 10w),width,1,10,10,inches
flat box (10d 9h 20w),width,9,20,10,inches
flat box (16d 7h 18w),width,7,18,16,inches
card box (9d 6h 15w),width,6,15,9,inches
audiotape (10 inch),width,1,11,11,inches
flat box (16d 1h 18w),width,1,18,16,inches
flat box (10d 2h 13w),width,2,13,10,inches
flat box (12d 2h 15w),width,2,15,12,inches
flat box (14d 1h 14w),width,1,14,14,inches
flat box (19d 5h 25w),width,5,25,19,inches
video Beta,width,7,1,5,inches
videocassette,width,1,3,4,inches
flat box (9d 2h 17w),width,2,17,9,inches
video DV,width,1,4,8,inches
tube square (41d 4h 4w),width,4,4,41,inches
card box (4d 4h 7w),width,4,7,4,inches
audiotape (3 inch),width,9,3,13,inches
flip top (9d 11h 4w),width,11,4,9,inches
flat box (13d 1h 18w),width,1,18,13,inches
card box (9d 6h 12w),width,6,12,9,inches
flat box (21d 2h 25w),width,2,25,21,inches
video (0.5 inch),width,1,6,6,inches
card box (5d 5h 11w),width,5,11,5,inches
video Hi-8,width,1,3,4,inches
tube square (41d 6h 6w),width,6,6,41,inches
archive letter oversize,width,10,7,13,inches
chest,width,9,22,15,inches
archive legal tall,width,13,5,16,inches
card box (5d 6h 12w),width,6,12,5,inches
flat box (7d 2h 16w),width,2,16,7,inches
flat box (9d 2h 10w),width,2,10,9,inches
flat box (5d 3h 8w),width,3,8,5,inches
card box (6d 5h 8w),width,5,8,6,inches
flat box (9d 1h 14w),width,1,14,9,inches
microcassette,width,1,2,3,inches
flat box (23d 3h 31w),width,3,31,23,inches
flat box (23d 2h 29w),width,2,29,23,inches
flip top (14d 3h 14w),width,3,14,14,inches
flat box (9d 3h 11w),width,3,11,9,inches
flat box (13d 2h 13w),width,2,13,13,inches
flat box (5d 6h 6w),width,6,6,5,inches
flat box (12d 3h 17w),width,3,17,12,inches
flip top (9d 11h 3w),width,11,3,9,inches
card box (5d 3h 6w),width,3,6,5,inches
flat box (16d 3h 18w),width,3,18,16,inches
flat box (15d 2h 22w),width,2,22,15,inches
tube square (50d 10h 10w),width,10,10,50,inches
microfilm box,width,4,2,4,inches
flat box (11d 3h 15w),width,3,15,11,inches
flat box (10d 3h 12w),width,3,12,10,inches
flat box (12d 3h 16w),width,3,16,12,inches
flat box (12d 1h 13w),width,1,13,12,inches
flat box (13d 3h 17w),width,3,17,13,inches
flat box (12d 1h 15w),width,1,15,12,inches
flat box (7d 2h 10w),width,2,10,7,inches
flat box (15d 2h 26w),width,2,26,15,inches
film box (4d 1h 4w),width,1,4,4,inches
film can (9d 1h 9w),width,1,9,9,inches
flat box (9d 1h 12w),width,1,12,9,inches
film box (7d 1h 7w),width,1,7,7,inches
film box (5d 1h 5w),width,1,5,5,inches
flat box (14d 5h 18w),width,5,18,14,inches
flat box (11d 1h 17w),width,1,17,11,inches
flat box (11d 3h 17w),width,3,17,11,inches
card box (6d 4h 7w),width,4,7,6,inches
film box (6d 1h 6w),width,1,6,6,inches
flat box (8d 3h 10w),width,3,10,8,inches
flat box (7d 2h 9w),width,2,9,7,inches
flat box (25d 2h 29w),width,2,29,25,inches
flat box (12d 1h 22w),width,1,22,12,inches
flat box (26d 3h 33w),width,3,33,26,inches
flat box (3d 3h 12w),width,3,12,3,inches
flat box (17d 1h 21w),width,1,21,17,inches
flat box (24d 3h 36w),width,3,36,24,inches
flat box (12d 4h 16w),width,4,16,12,inches
flat box (12d 4h 15w),width,4,15,12,inches
flat box (11d 4h 16w),width,4,16,11,inches
flat box (11d 2h 13w),width,2,13,11,inches
flat box (15d 5h 16w),width,5,16,15,inches
flip top (5d 10h 5w),width,10,5,5,inches
flat box (15d 1h 16w),width,1,16,15,inches
flat box (17d 2h 21w),width,2,21,17,inches
flat box (12d 2h 18w),width,2,18,12,inches
flat box (14d 4h 14w),width,4,14,14,inches
flat box (25d 3h 37w),width,3,37,25,inches
flip top (7d 10h 4w),width,10,4,7,inches
flat box (9d 2h 11w),width,2,11,9,inches
film box (11d 2h 11w),width,2,11,11,inches
flat box (22d 1h 28w),width,1,28,22,inches
flat box (24d 1h 30w),width,1,30,24,inches
flip top (11d 9h 3w),width,9,3,11,inches
video (2 inch),width,8,3,8,inches
envelope,width,0.25,12,10,inches
folder (32d 40w),width,0.25,40,32,inches
flat box (13d 4h 17w),width,4,17,13,inches
flat box (12d 3h 18w),width,3,18,12,inches
flat box (15d 1h 17w),width,1,17,15,inches
folder (24d 36w),width,0.25,36,24,inches
folder (24d 30w),width,0.25,30,24,inches
flat box (13d 2h 16w),width,2,16,13,inches
"custom box [vertical octavo, 1"" wide]",width,10,1,9,inches
"custom box [vertical octavo, 3"" wide]",width,10,3,9,inches
"custom box [vertical quarto, 1"" wide]",width,15,1,13,inches
"custom box [vertical quarto, 3"" wide]",width,15,3,13,inches
"custom box [flat, 12"" wide]",width,3,12,10,inches
"custom box [flat, 18"" wide]",width,3,18,14,inches
"custom box [flat, 24"" wide]",width,3,24,20,inches
"custom box [flat, 30"" wide]",width,3,30,24,inches
"custom box [flat, 36"" wide]",width,3,36,30,inches
"custom box [flat, 42"" wide]",width,3,42,36,inches
flat box (17d 3.5h 23w inches),width,3.5,23,17,inches
HSR phonodisc,width,13,6,13,inches
flat box (17d 3h 13w),width,3,13,17,inches
painting,width,37,25,1,inches
Flip top,width,6,6,5,inches
flat box  (15d 3h 19w),width,3,19,15,inches
"flat box (17d, 3.5h, 21w)",width,3.5,21,17,inches
tube square (50d 5h 5w),width,5,5,50,inches
film can (11d 1.5h 11w),width,1.5,11,11,inches
film can (7.5d 1h 7.5w),width,1,7.5,7.5,inches
Folder (36d 48w),height,0.25,48,36,inches
Custom,height,0,0,0,inches
